symbol,date,close,high,low,EMA_20,EMA_44,EMA_50,EMA_100,EMA_200,RSI_14,ADX_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,vwap,Prev Day High,Prev Day Low,Previous Week High,Previous Week Low,1D_PctRange,2D_PctRange,3D_PctRange,4D_PctRange
MIDCPNIFTY,2025-08-01,12662.3,12871.75,12645.65,13062.189578185633,13006.55701805627,12968.938982099391,12697.028252295211,12514.44976678177,33.91721242127038,54.97108359004899,-82.9421757505097,-12.139671479262915,-70.80250427124679,13478.316198939488,13062.189578185633,12646.062957431777,,12977.65,12762.65,13364.2,12890.1,1.6846031192581479,1.6730595316057035,1.375120420149787,2.1476625168577868
ZFCVINDIA-EQ,2025-08-01,12890.0,13283.0,12872.0,13231.179746389564,13194.088077678205,13169.244388393421,12978.856983203576,13053.422365218259,47.055674518201286,34.99588413510855,-18.175223624533828,7.501268259114061,-25.67649188364789,13599.90607480011,13231.179746389564,12862.453417979017,13059.923444976077,13377.0,13128.0,14092.0,13036.0,1.896709323583181,1.804123711340206,2.49674504097419,5.101726263871764
ZENTEC-EQ,2025-08-01,1534.9,1537.3,1467.2,1750.457882034475,1805.5359212249925,1804.0042526837008,1774.284901418893,1767.0471365083974,26.380737396538763,47.19965893983254,-100.15111051049303,-55.818576727073186,-44.33253378341984,2086.0233623493405,1750.457882034475,1414.8924017196096,1524.5087873013786,1525.8,1449.6,1924.5,1690.7,5.256622516556295,5.263520971302441,10.800183498263316,10.244277518187735
ZENSARTECH-EQ,2025-08-01,790.15,801.85,785.95,816.5416160443466,818.5880896881386,816.690193465092,799.6751105411621,780.2137381714922,45.409056792594434,22.45781305030845,-10.711562262862003,-7.067692879560184,-3.643869383301819,858.8580928651637,816.5416160443466,774.2251392235295,797.3177283968597,810.0,791.05,857.0,782.6,2.3955502180646038,2.1509433962264177,3.311972590571667,4.137215485377095
ZEEL-EQ,2025-08-01,116.35,118.96,116.02,129.44051487125614,131.3425875261135,130.90359599755803,126.44493868097649,122.36685722330915,14.726394849785422,40.64760237357957,-5.609716850840812,-2.882719946070859,-2.726996904769953,151.48602177712837,129.44051487125614,107.39500796538393,117.67562960218429,119.7,115.15,143.79,123.3,3.951367781155012,2.8793103448275894,2.9724173376734617,4.378328121037945
YESBANK-EQ,2025-08-01,18.61,18.99,18.56,19.673558018736053,19.85311473821907,19.83965075797762,19.58867790153093,19.329722291849393,28.353658536585385,15.281736560847113,-0.31436427801577693,-0.17188012920538343,-0.1424841488103935,20.66891566406039,19.673558018736053,18.678200373411716,18.748856069562535,19.12,18.86,20.47,19.45,1.3785790031813445,2.041884816753911,1.1387163561076545,2.6956972524624137
WOCKPHARMA-EQ,2025-08-01,1604.9,1676.7,1600.0,1699.1385019959946,1658.9916209986625,1645.5463225471326,1558.580961867378,1473.5934802707145,15.911282545805207,21.898177029349842,-5.01969906536624,15.973342762026082,-20.99304182739232,1827.9934330741653,1699.1385019959946,1570.283570917824,1631.057231734915,1693.9,1654.2,1779.9,1665.0,2.399951638254144,3.1992302603884673,3.0130926047707214,5.970149253731343
WHIRLPOOL-EQ,2025-08-01,1325.0,1345.7,1311.0,1376.6050200006714,1352.4147040929306,1345.2962873338688,1327.218097130482,1397.2090595773927,40.290719344017894,21.7894377395395,0.3251185493215871,13.290455682069876,-12.965337132748289,1455.2642443735754,1376.6050200006714,1297.9457956277674,1329.5576723188724,1369.9,1323.1,1472.1,1380.0,3.5371476078905744,3.8239217429968804,4.084517521017789,2.5703523155329013
WESTLIFE-EQ,2025-08-01,717.75,738.65,716.65,753.525877938095,743.9917035022754,741.6566658890159,732.7464748870344,730.360955147328,25.62225475841869,30.918681596098544,-1.4504652312755297,6.677648709605575,-8.128113940881104,795.5410456253644,753.525877938095,711.5107102508257,728.1413786555261,749.2,723.0,787.0,737.0,3.6237897648686097,2.7911969940955386,5.799660441426152,3.1503515413737095
WELSPUNLIV-EQ,2025-08-01,120.7,125.74,120.6,135.1415152307067,136.88019701063382,136.93901346553534,137.35980363835,139.8398003436911,29.088785046729015,35.17327122563619,-3.276329498539468,-1.0899901663179894,-2.1863393322214786,148.4267952130969,135.1415152307067,121.85623524831645,123.30444937378601,128.0,124.25,143.97,136.36,3.0181086519114686,11.18399999999999,3.198551599275806,3.258426966292131
WELCORP-EQ,2025-08-01,897.05,932.65,890.0,912.8754529867373,901.6648428686511,897.285390911153,864.3568640042763,826.916961553975,45.33441756454563,23.843177128534396,-0.47334453914061214,1.3827356601827248,-1.856080199323337,948.1743612000517,912.8754529867373,877.5765447734228,913.1905745742919,938.8,917.3,946.75,879.15,2.3438351684290857,3.56359649122807,8.350305498981669,4.258914006059189
WAAREEENER-EQ,2025-08-01,3109.8,3163.2,3018.6,3109.8889139846115,3019.684202841619,2995.751518590821,2844.7526848426132,2723.107241158601,45.741156353532126,26.127255005584402,32.74045661606624,55.89807183410235,-23.157615218036113,3288.352219663042,3109.8889139846115,2931.425608306181,3105.7976116761847,3099.8,2955.0,3285.0,3055.1,4.900169204737739,6.298360655737702,4.155457796626268,5.687804878048784
VTL-EQ,2025-08-01,449.0,449.0,416.0,475.4107526315992,480.78065148561814,480.4921948582849,474.9930840879166,468.66454580528347,29.713493530499107,46.52534010131152,-11.20069878465614,-4.848641215545818,-6.352057569110322,520.442938781882,475.4107526315992,430.3785664813164,428.38035398642813,450.0,432.8,504.6,471.55,3.97412199630314,4.60622401977306,1.7090271691498709,3.982976865997381
VOLTAS-EQ,2025-08-01,1314.9,1323.7,1306.3,1339.1567797786781,1330.4560519799404,1329.3141391027095,1346.247483078707,1411.7635858687445,34.948604992657835,47.87103690104276,-2.089749885690935,6.782909658701364,-8.872659544392299,1397.3142167380706,1339.1567797786781,1280.9993428192856,1316.6195163587804,1348.8,1319.0,1392.0,1303.3,2.259287338893097,1.7482517482517483,2.274461914211567,2.558979482056402
VMM-EQ,2025-08-01,140.75,141.8,139.54,136.54909360093498,132.4472559469295,131.45958006373922,124.98233761216804,118.81016444955254,56.311006395153164,32.45126168328453,2.301182698391102,2.5145187599105774,-0.21333606151947526,144.95287439168283,136.54909360093498,128.14531281018714,140.77479205455924,140.0,133.9,143.29,137.75,4.555638536221056,3.78135529764132,3.3811320754716907,6.912547528517113
VIJAYA-EQ,2025-08-01,1079.5,1094.0,1062.2,1052.2332416558813,1022.7371845880447,1019.1436567654841,1014.7861956276116,1041.0922423670524,59.01515151515151,41.13402377121844,27.584306050352552,24.903419073813218,2.680886976539334,1132.5548928957217,1052.2332416558813,971.9115904160411,1086.1285921684075,1106.3,1066.05,1141.45,1006.0,3.7756202804746493,3.6179049377018964,2.554054054054046,11.303515905285826
VGUARD-EQ,2025-08-01,383.0,383.5,371.05,391.0307429205303,387.3484655021472,386.24205650846454,381.4922085777688,384.5454484231422,41.945773524720884,28.039346915090313,-0.5648276637555227,2.5325186487054747,-3.0973463124609975,408.53486574315195,391.0307429205303,373.5266200979087,376.45566432454774,383.8,376.85,409.75,393.2,1.8442351068064184,3.5249243719584467,5.735056542810988,5.1375194603009895
UTIAMC-EQ,2025-08-01,1290.2,1334.9,1290.2,1358.2269803064999,1311.9047882597247,1299.8014682703827,1235.645987209131,1211.1266372871967,30.41504539559014,45.56221782104708,9.148650847635736,30.911356582352898,-21.762705734717162,1477.9393724892047,1358.2269803064999,1238.514588123795,1309.1711807428603,1358.8,1322.6,1494.8,1328.0,2.7370331165885413,3.8088695519426072,3.8867082275071194,3.9652850516235225
